,files,keys,en,hi,id,zh-Hant,ja,zh-Hans,Base,th,vi,ko
0,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""wgs-3V-Tgh.normalTitle""","""MORE"";","""अधिक "";","""LAINNYA"";","""更多"";","""詳細"";","""更多"";",,"""เพิ่มเติม"";","""THÊM"";","""더보기"";"
1,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""roW-zs-gGb.text""","""Pts"";","""अंक "";","""Pts"";","""今日總分"";","""Pts"";","""今日总分"";",,"""คะแนน"";","""Điểm"";","""점"";"
2,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""tdE-Wl-wmg.text""","""If your steps are not syncing please"";",,,,,"""如果您的步数没有同步，"";",,,,
3,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""1HF-sw-ElU.text""","""200"";","""200"";","""200"";","""200"";","""200"";","""200"";",,"""200"";","""200"";","""200"";"
4,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""7Vv-oz-3WL.normalTitle""","""update manually"";",,,,,"""请手动更新"";",,,,
5,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""TM1-yH-Iug.text""","""Points on 24 April,2018"";","""24 अप्रैल,2018 को अंक "";","""Poin di 24 April, 2018"";","""2018 年 4 月 24 日時的積分"";","""2018年4月24日のポイント"";","""2018 年 4 月 24 日的分数"";",,"""คะแนนเมื่อ 24 เมษายน 2018"";","""Số điểm ngày 24 tháng Tư năm 2018"";","""2018년 4월 24일 포인트"";"
6,Flabuless/Presentation Layer/NewDashboard/Dasboard Table Custom Cells/DashboardPointsTableViewCell.strings,"""4X8-P0-RQN.text""","""Connected with"";","""जुडा हुआ ट्रैकर "";","""Terhubung dengan"";","""已連接"";","""Connected"";","""已连接"";",,"""เชื่อมต่อกับ"";","""Đã kết nối với"";","""데이터 소스:"";"
0,Flabuless/Presentation Layer/Add Activity/BenefitSt Fit/CustomCell/ActivityCollectionViewCell.strings,"""kTU-md-p8b.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""ฉลาก"";","""Nhãn"";","""라벨"";"
0,Flabuless/Layouts/Apps Specific/Bridgestone/Login.strings,"""bk5-5M-skz.normalTitle""","""Lets get started"";","""आएँ शुरू करें"";","""Mari kita mulai"";","""讓我們開始吧"";","""始めましょう"";","""让我们开始吧"";",,"""มาเริ่มกันเลย"";","""Băt đâu nao"";","""시작하자"";"
1,Flabuless/Layouts/Apps Specific/Bridgestone/Login.strings,"""B0W-J5-bQA.text""","""Welcome to BS-Fit: A wellness program for Bridgestone China & Asia Pacific"";","""बी-फिट में आपका स्वागत है: ब्रिजस्टोन एशिया प्रशांत के लिए एक कल्याण कार्यक्रम।"";","""Selamat Datang di B-Fit: Program kesehatan untuk Bridgestone Asia Pasifik."";","""歡迎來到B-Fit：普利司通亞太區的健康計劃。"";","""B-Fitへようこそ：ブリヂストンアジア太平洋地域のウェルネスプログラム。"";","""欢迎来到B-Fit：普利司通亚太区的健康计划。"";",,"""ยินดีต้อนรับสู่ B-Fit: โครงการสุขภาพสำหรับ Bridgestone Asia Pacific"";","""Chào mừng bạn đến với B-Fit: Chương trình chăm sóc sức khỏe cho Bridgestone Asia Pacific."";","""B-Fit에 오신 것을 환영합니다 : Bridgestone Asia Pacific의 웰니스 프로그램."";"
0,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/Event Details/EventMapCell/NewEventMapAdressTableViewCell.strings,"""fH9-w0-nSl.placeholder""","""Add Location"";","""स्थान जोड़ना"";","""Menambahkan lokasi"";","""添加位置"";","""場所を追加"";","""添加位置"";",,"""เพิ่มสถานที่"";","""Thêm vị trí"";","""위치 추가"";"
0,Flabuless/Presentation Layer/Notifications/NotificationCell/NewNotificationTableViewCell.strings,"""nSy-rl-yMp.text""","""18 Dec 2019"";",,,,,,,,,
1,Flabuless/Presentation Layer/Notifications/NotificationCell/NewNotificationTableViewCell.strings,"""NcW-CA-PHx.text""","""notification Name"";",,,,,,,,,
0,Flabuless/Layouts/Common UI/SlideMenu.strings,"""gZ8-Y1-wb1.text""","""Version:1.0"";","""वर्जन: 1.0"";","""Versi:1.0"";","""版本:1.0"";","""バージョン：1.0"";","""版本:1.0"";",,"""เวอร์ชัน: 1.0"";","""Phiên bản:1.0"";","""버전:1.0"";"
1,Flabuless/Layouts/Common UI/SlideMenu.strings,"""ayW-Cb-aU9.text""","""Label"";","""लेबल"";","""Label"";","""標籤"";","""ラベル"";","""标签"";",,"""ป้ายกำกับ"";","""Nhãn"";","""라벨"";"
2,Flabuless/Layouts/Common UI/SlideMenu.strings,"""Ph3-i4-doJ.text""","""Ashton Robert"";","""एश्टन रॉबर्ट"";","""Ashton Robert"";","""羅伯特·阿什頓"";","""Ashton Robert"";","""Ashton Robert"";",,"""Ashton Robert"";","""Ashton Robert"";","""Ashton Robert"";"
3,Flabuless/Layouts/Common UI/SlideMenu.strings,"""Hiz-cw-d2V.text""","""Add Activity"";","""गतिविधि जोड़ें"";","""Tambah Aktifitas"";","""新增活動"";","""アクティビティを追加"";","""添加活动"";",,"""เพิ่มกิจกรรม"";","""Thêm Hoạt động"";","""활동 추가"";"
4,Flabuless/Layouts/Common UI/SlideMenu.strings,"""YYq-xd-76C.placeholder""","""Search"";","""सर्च"";","""Cari"";","""搜尋"";","""サーチ"";","""搜索"";",,"""ค้นหา"";","""Tìm kiếm"";","""검색"";"
5,Flabuless/Layouts/Common UI/SlideMenu.strings,"""JF7-iu-Tno.normalTitle""","""View Profile"";","""प्रोफाइल देखें"";","""Lihat Profil"";","""查看個人資料"";","""プロフィールを見る"";","""查看个人资料"";",,"""ดูโปรไฟล์"";","""Xem Hồ sơ"";","""프로필 보기"";"
0,Flabuless/Presentation Layer/NewEventDesign/EventGallery/Add PhotoView/AddPhotoViewController.strings,"""OUL-fa-bdT.placeholder""","""Add Caption"";","""Add Caption"";","""Add Caption"";","""Add Caption"";","""Add Caption"";","""添加描述"";",,"""Add Caption"";","""Add Caption"";","""Add Caption"";"
1,Flabuless/Presentation Layer/NewEventDesign/EventGallery/Add PhotoView/AddPhotoViewController.strings,"""cWp-CJ-3ce.normalTitle""","""ADD"";","""ADD"";","""ADD"";","""ADD"";","""ADD"";","""上传"";",,"""ADD"";","""ADD"";","""ADD"";"
2,Flabuless/Presentation Layer/NewEventDesign/EventGallery/Add PhotoView/AddPhotoViewController.strings,"""Udv-e4-2hm.text""","""SELECT PHOTOS"";","""SELECT PHOTOS"";","""SELECT PHOTOS"";","""SELECT PHOTOS"";","""SELECT PHOTOS"";","""选择图片"";",,"""SELECT PHOTOS"";","""SELECT PHOTOS"";","""SELECT PHOTOS"";"
0,Flabuless/Layouts/Common UI/Login.strings,"""cA7-V8-aQL.normalTitle""","""Lets get started"";","""आओ शुरू करें"";","""Mari memulai"";","""我們開始吧"";","""始めましょう"";","""我们开始吧"";",,"""มาเริ่มกันเลย"";","""Bắt đầu thôi"";","""시작해 볼까요"";"
0,Flabuless/Layouts/Common UI/ConnectApps.strings,"""Iqg-Ei-JK8.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
1,Flabuless/Layouts/Common UI/ConnectApps.strings,"""Ds0-J1-C9L.normalTitle""","""Dashboard"";","""डैशबोर्ड"";","""Dasbor"";","""主頁"";","""ダッシュボード"";","""主页"";",,"""แดชบอร์ด"";","""Tổng hợp"";","""대시보드"";"
2,Flabuless/Layouts/Common UI/ConnectApps.strings,"""qcT-OL-vmz.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
3,Flabuless/Layouts/Common UI/ConnectApps.strings,"""1V6-sr-aeD.normalTitle""","""Activity Trackers"";","""गतिविधियां ट्रैक करने हेतु"";","""Pelacak Aktivitas"";","""運動追蹤器"";","""アクティビティトラッカー"";","""活动跟踪器"";",,"""ตัว ติดตาม กิจกรรม"";","""Thiết bị Theo dõi Sức khỏe"";","""활동 트래커"";"
4,Flabuless/Layouts/Common UI/ConnectApps.strings,"""Cwf-wS-UrV.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
5,Flabuless/Layouts/Common UI/ConnectApps.strings,"""rHk-cX-Jgw.text""","""Step Counters"";",""" कदम गिनती हेतु"";","""Penghitung Langkah"";","""計步器"";","""ステップカウンタ"";","""步数计数器"";",,"""ตัวนับก้าว"";","""Thiết bị Đếm Bước chân"";","""걸음 트래커"";"
6,Flabuless/Layouts/Common UI/ConnectApps.strings,"""uF0-kk-DIk.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
7,Flabuless/Layouts/Common UI/ConnectApps.strings,"""vDg-V9-0TN.text""","""APPS AND DEVICES"";","""ऐप्स और डिवाइसेज़"";","""APLIKASI DAN PERANGKAT"";","""APP 和裝置"";","""アプリとデバイス"";","""APP 和设备"";",,"""แอพพลิเคชันและอุปกรณ์"";","""ỨNG DỤNG VÀ THIẾT BỊ"";","""앱 및 장치"";"
8,Flabuless/Layouts/Common UI/ConnectApps.strings,"""P0K-A2-04a.normalTitle""","""Step Counters"";",""" कदम गिनती हेतु"";","""Penghitung Langkah"";","""計步器"";","""ステップカウンタ"";","""步数计数器"";",,"""ตัวนับก้าว"";","""Thiết bị Đếm Bước chân"";","""걸음 트래커"";"
9,Flabuless/Layouts/Common UI/ConnectApps.strings,"""PsK-2i-LLV.normalTitle""","""Connect"";","""कनेक्ट करें "";","""Hubung"";","""連線"";","""接続する"";","""连接"";",,"""เชื่อมต่อ"";","""Kết nối"";","""연결"";"
