,Unnamed: 0,files,keys,en,zh-Hans,vi,id,ms,th,ru
0,0,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""J5f-LD-Nw9.normalTitle""","""OCT"";","""OCT"";","""OCT"";","""OCT"";","""OCT"";","""OCT"";",
1,1,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""KaS-CO-2pF.normalTitle""","""SEP"";","""SEP"";","""SEP"";","""SEP"";","""SEP"";","""SEP"";",
2,2,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""XrD-GC-R8d.text""","""CALENDAR"";","""日历"";","""Lịch biểu"";","""KALENDAR"";","""CALENDAR"";","""ปฏิทิน"";",
3,3,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""hfZ-mj-mT5.normalTitle""","""GREETINGS"";","""问候"";","""Lời chúc mừng"";","""Salam"";","""GREETINGS"";","""ทักทาย"";",
4,4,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""Kiz-ws-dSF.text""","""JULY 2015"";","""JULY 2015"";","""JULY 2015"";","""JULY 2015"";","""JULY 2015"";","""JULY 2015"";",
5,5,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""gzf-5Z-SsX.normalTitle""","""MAY"";","""MAY"";","""MAY"";","""MAY"";","""MAY"";","""MAY"";",
6,6,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""uhS-Zi-p0C.normalTitle""","""EVENTS"";","""活动"";","""SỰ KIỆN"";","""Acara"";","""EVENTS"";","""งานอีเว้นท์"";",
7,7,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""yRX-9N-iHp.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
8,8,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""0l4-zn-MuW.normalTitle""","""APPOINTMENTS"";","""APPOINTMENTS"";","""CUỘC HẸN"";","""APPOINTMENTS"";","""APPOINTMENTS"";","""นัดหมาย"";",
9,9,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""rAn-he-g9V.normalTitle""","""Month"";","""Month"";","""Tháng"";","""BULAN"";","""Month"";","""เดือน"";",
10,10,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""5tH-2p-3P6.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
11,11,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""AUj-yM-2ZO.normalTitle""","""Week"";","""Week"";","""Tuần"";","""MINGGU"";","""Week"";","""สัปดาห์"";",
12,12,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""Y67-tT-eU0.normalTitle""","""JUL"";","""JUL"";","""JUL"";","""JUL"";","""JUL"";","""JUL"";",
13,13,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""ZCN-tv-70a.normalTitle""","""VIEW MORE"";","""查看更多"";","""Xem Thêm"";","""Lihat Lagi"";","""VIEW MORE"";","""ดูเพิ่มเติม"";",
14,14,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""ddq-Z0-j7N.normalTitle""","""ANNOUNCEMENTS"";","""公告"";","""THÔNG BÁO"";","""PELANTIKAN"";","""ANNOUNCEMENTS"";","""ประชาสัมพันธ์"";",
15,15,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""NnK-KF-QFW.normalTitle""","""JUN"";","""JUN"";","""JUN"";","""JUN"";","""JUN"";","""JUN"";",
16,16,SKOR/Calendar/AllCalenderViewControllerCerraSG.strings,"""p79-Cj-RLP.normalTitle""","""AUG"";","""AUG"";","""AUG"";","""AUG"";","""AUG"";","""AUG"";",
17,0,SKOR/HistoryMainView/HistoryBarcodeViewController.strings,"""NEH-cg-rUc.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
18,1,SKOR/HistoryMainView/HistoryBarcodeViewController.strings,"""gIw-r8-jt1.normalTitle""","""OK"";","""OK"";","""ĐỒNG Ý"";","""OK"";","""OK"";","""ตกลง"";",
19,2,SKOR/HistoryMainView/HistoryBarcodeViewController.strings,"""luS-c6-PZo.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
20,0,SKOR/New Dashboard/Dasboard Table Custom Cells/SalesTrackerTableViewCell.strings,"""Idt-jQ-Edc.text""","""SPECIAL CAMPAIGNS TRACKER"";","""SPECIAL CAMPAIGNS TRACKER"";","""CÔNG CỤ THEO DÕI CHIẾN DỊCH ĐẶC BIỆT"";","""TRACKER KEMPEN KHAS"";","""SPECIAL CAMPAIGNS TRACKER"";","""ตัวติดตามแคมเปญพิเศษ"";",
21,1,SKOR/New Dashboard/Dasboard Table Custom Cells/SalesTrackerTableViewCell.strings,"""nns-pk-H81.text""","""*Weekly sales achievement will be refreshed every Monday"";","""*Weekly sales achievement will be refreshed every Monday"";","""*Thành tích bán hàng hàng tuần sẽ được làm mới vào mỗi thứ Hai"";","""* Pencapaian penjualan mingguan akan disegarkan setiap hari Isnin"";","""*Weekly sales achievement will be refreshed every Monday"";","""* ความสำเร็จการขายรายสัปดาห์จะรีเฟรชทุกวันจันทร์"";",
22,0,SKOR/Rewardz Main Category/CerraRewardzMainCategoryViewController.strings,"""RV0-CJ-qYe.placeholder""",,"""   搜索"";","""    Tìm kiếm"";","""   Cari"";","""   Search"";","""   ค้นหา"";",
23,1,SKOR/Rewardz Main Category/CerraRewardzMainCategoryViewController.strings,"""QEj-Rc-IZf.text""",,"""奖励"";","""ĐỔI ĐIỂM THƯỞNG"";","""GANJARAN"";","""REWARDS"";","""รางวัล"";",
24,0,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EventTimeCell/EventTimeCell.strings,"""x4f-dz-z4V.text""","""Start"";","""开始"";","""Bắt đầu"";","""MULA"";","""Start"";","""เริ่มต้น"";",
25,1,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EventTimeCell/EventTimeCell.strings,"""1NA-U0-ehf.text""","""Event Time"";","""活动时间"";","""Thời gian sự kiện"";","""Waktu Acara"";","""Event Time"";","""เวลากิจกรรม"";",
26,2,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EventTimeCell/EventTimeCell.strings,"""YfF-Nw-QJ2.text""","""End"";","""开始"";","""Kết thúc"";","""TAMAT"";","""End"";","""จบ"";",
27,0,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RewardContactInformationTableViewCell.strings,"""igI-az-HAL.text""","""EMAIL"";","""EMAIL"";",,,,"""อีเมล์"";",
28,1,SKOR/Presentation Layer/Rewards/RewardRedeemCell/RewardContactInformationTableViewCell.strings,"""Vy4-Y3-TiP.text""","""CONTACT"";","""CONTACT"";",,,,"""ติดต่อ"";",
29,0,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""oiR-x9-k3s.text""","""Date"";","""Date"";","""Ngày"";","""Tarikh"";","""Date"";","""Date"";",
30,1,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""nvg-BE-QpP.text""","""Heading"";","""Heading"";","""tiêu đề"";","""Tajuk"";","""Heading"";","""Heading"";",
31,2,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""Chn-pS-cC0.normalTitle""","""View"";","""View"";","""Xem"";","""Pandangan"";","""View"";","""สแกน"";",
32,3,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""dIz-bZ-C0K.text""","""2nd"";","""2nd"";","""2nd"";","""2nd"";","""2nd"";","""2nd"";",
33,4,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""wtR-BQ-nsE.text""","""1st"";","""1st"";","""1st"";","""1st"";","""1st"";","""1st"";",
34,5,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""W7q-VV-yoj.text""","""Points"";","""Points"";","""Điểm"";","""Point"";","""Points"";","""คะแนน"";",
35,6,SKOR/HistoryMainView/Custom Cells/HistoryMonthTableViewCell.strings,"""MDb-0L-xLf.normalTitle""","""Copy"";","""复制"";","""sao chép"";","""Salinan"";","""Copy"";","""คัดลอก"";",
36,0,SKOR/Generic Filter View/GenericFilterViewController.strings,"""Hjy-BU-lUl.normalTitle""","""Apply"";","""应用"";","""Áp dụng"";","""Tetapan"";","""Apply"";","""นำไปใช้"";",
37,1,SKOR/Generic Filter View/GenericFilterViewController.strings,"""btC-M6-PGa.text""","""Filter by"";","""筛选"";","""Lọc theo"";","""Tapis mengikut"";","""Filter by"";","""กรองตาม"";",
38,2,SKOR/Generic Filter View/GenericFilterViewController.strings,"""HFE-Go-MqL.normalTitle""","""Clear"";","""清除"";","""Xóa"";","""Jelas"";","""Clear"";","""ล้าง"";",
39,0,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""wpH-LC-2Lt.text""","""Total Points"";","""Total Points"";","""Tổng điểm"";","""Jumlah Mata"";","""Total Points"";","""คะแนนรวม"";",
40,1,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""N1o-Mx-w4R.text""","""Total Points Redeemed"";","""已兑换积分总额"";","""Tổng số Điểm đã quy đổi"";","""Jumlah Mata yang Ditebus"";","""Total Points Redeemed"";","""คะแนนรวมแลก"";",
41,2,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""VC6-sq-gSF.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
42,3,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""yQW-vX-4ek.text""","""My Points"";","""我的积分"";","""Điểm của tôi"";","""Mata Ganjaran Saya"";","""My Points"";","""คะแนนของฉัน"";",
43,4,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""YXv-zb-1yP.text""","""Used Points"";","""Used Points"";","""Điểm đã sử dụng"";","""Mata yang Digunakan"";","""Used Points"";","""คะแนนที่ใช้"";",
44,5,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""kEg-t8-kxM.text""","""Total Points Earned"";","""Total Points Earned"";","""Tổng số Điểm đã tích lũy"";","""Jumlah Mata Diperolehi"";","""Total Points Earned"";","""คะแนนรวมทั้งหมดที่ได้รับ"";",
45,6,SKOR/New Dashboard/Section provider/RedeemptionPointsSection/RedeemptionPointsTableViewCell.strings,"""3i7-Op-lnc.normalTitle""","""More Details"";","""更多详情"";","""Chi tiết hơn"";","""Maklumat lanjut"";","""More Details"";","""รายละเอียดเพิ่มเติม"";",
46,0,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EvenAddPhotoCell/EventAddPhotoCell.strings,"""zec-VQ-aGX.normalTitle""","""See All"";","""查看全部"";","""XEM TẤT CẢ"";","""LIHAT SEMUA"";","""See All"";","""ดูรูปภาพทั้งหมด"";",
47,1,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EvenAddPhotoCell/EventAddPhotoCell.strings,"""z7n-pq-7un.normalTitle""","""ADD PHOTO"";","""添加照片"";","""THÊM ẢNH"";","""LAMPIRKAN FOTO"";","""ADD PHOTO"";","""เพิ่มรูปภาพ"";",
48,2,SKOR/Presentation Layer/Calendar/Event Detail/Custom Cells/EvenAddPhotoCell/EventAddPhotoCell.strings,"""ikf-jA-pcv.text""","""Photo"";","""照片"";","""Ảnh"";","""Foto"";","""Photo"";","""ภาพถ่าย"";",
49,0,SKOR/Login/LogInViewControllerCerraSG.strings,"""wDU-RD-DoY.placeholder""","""Email or Username"";","""Email or Username"";",,"""Emel atau Nama Pengguna"";","""Email or Username"";","""Email or Username"";",
50,1,SKOR/Login/LogInViewControllerCerraSG.strings,"""Zrr-ot-gaa.text""","""Version:1.0"";","""Version:1.0"";",,"""Version:1.0"";","""Version:1.0"";","""Version:1.0"";",
51,2,SKOR/Login/LogInViewControllerCerraSG.strings,"""BtW-RI-F0j.normalTitle""","""Location >"";","""Location >"";",,"""Location >"";","""Location >"";","""Location >"";",
52,3,SKOR/Login/LogInViewControllerCerraSG.strings,"""1SV-BZ-sQx.normalTitle""","""Forgot Password"";","""Forgot Password"";",,"""Lupa Kata Laluan"";","""Forgot Password"";","""Forgot Password"";",
53,4,SKOR/Login/LogInViewControllerCerraSG.strings,"""RsR-wR-d4i.text""","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";",,"""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";",
54,5,SKOR/Login/LogInViewControllerCerraSG.strings,"""HEc-v3-aMb.placeholder""","""Password"";","""Password"";",,"""Kata Laluan "";","""Password"";","""Password"";",
55,6,SKOR/Login/LogInViewControllerCerraSG.strings,"""KfV-me-zMJ.normalTitle""","""Login"";","""Login"";",,"""Log Masuk"";","""Login"";","""Login"";",
56,0,SKOR/Receipt/Receipt Detail/LedvanceReceipts/Cells/LedvanceNoItemAddedTableViewCell.strings,"""dOn-2r-AIj.text""","""No Items added"";","""没有添加项目"";",,"""Tidak ada Item yang ditambahkan"";","""Tiada Item ditambahkan"";","""ไม่มีรายการสินค้า"";",
57,0,SKOR/New Appreciation flow/Appreciation Feeds/AppreciationFeedCell/StrengthFilterCell.strings,"""atD-mD-IQB.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
58,0,SKOR/FacilityCheckInView/FacilityNearby/Custom Cell/FacilityNearbyVc.strings,"""4ny-Sf-sTT.text""","""Nearby"";","""登录设施"";","""Gần đó"";","""Dekat"";","""Nearby"";","""ตรวจสอบสิ่งอำนวยความสะดวก"";",
59,1,SKOR/FacilityCheckInView/FacilityNearby/Custom Cell/FacilityNearbyVc.strings,"""PUD-5t-sn5.placeholder""","""   Search"";","""   搜索"";","""    Tìm kiếm"";","""   Cari"";","""   Search"";","""   ค้นหา"";",
60,0,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Colllection View Custom Cell/GrettinghorizontalCollectionViewCell.strings,"""cKd-ic-61e.text""","""2"";","""2"";","""2"";","""2"";","""2"";","""2"";",
61,1,SKOR/New Dashboard/Section provider/Dashboard Sections/Dashboard Items/Colllection View Custom Cell/GrettinghorizontalCollectionViewCell.strings,"""zBy-WO-nSD.text""","""3 colleague’s Birthday Today"";","""3 colleague’s Birthday Today"";","""3 colleague’s Birthday Today"";","""3 colleague’s Birthday Today"";","""3 colleague’s Birthday Today"";","""วันเกิด 3 เพื่อนร่วมงานของวันนี้"";",
62,0,SKOR/AppreciationConfirmationViewController.strings,"""2Yd-iz-5s5.normalTitle""","""Cancel"";","""取消"";","""Hủy"";","""Batal"";","""Cancel"";","""ยกเลิก"";",
63,1,SKOR/AppreciationConfirmationViewController.strings,"""SLv-vx-MQ7.normalTitle""","""Ok"";","""好"";","""ĐỒNG Ý"";","""Ok"";","""Ok"";","""ตกลง"";",
64,2,SKOR/AppreciationConfirmationViewController.strings,"""A08-dr-bJJ.text""","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";","""You are allocating 20 Points to John Doe"";",
65,3,SKOR/AppreciationConfirmationViewController.strings,"""pRX-nz-ntT.text""","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""Tôi đồng ý với Điều khoản dịch vụ và Chính sách Bảo mật."";","""I accept the Terms of service and Privacy Policy"";","""I accept the Terms of service and Privacy Policy"";","""ฉันยอมรับ เงื่อนไขการให้บริการ และนโยบายความเป็นส่วนตัว"";",
66,0,SKOR/New Appreciation flow/Recognition Heroes/Custom Cells/Recognition Heroes Cell/RecognitionHeroCollectionViewCell.strings,"""FXA-wH-tQh.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
67,1,SKOR/New Appreciation flow/Recognition Heroes/Custom Cells/Recognition Heroes Cell/RecognitionHeroCollectionViewCell.strings,"""QKh-rX-Mnp.text""","""6"";","""6"";","""6"";","""6"";","""6"";","""6"";",
68,0,SKOR/AppreciateUserCollectionViewCell.strings,"""flz-QT-XLz.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
69,0,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""M8M-dc-DtN.text""",,,"""Label"";","""Label"";","""Label"";",,
70,1,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""yin-pg-loI.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
71,2,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""T2p-jr-pGb.text""","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";","""Label"";",
72,3,SKOR/Presentation Layer/Rewards/Reward Search & Filter/Reward Search/Section Adapter/Custom Cells/SearchedRewardCollectionViewCell.strings,"""TVc-32-a1B.normalTitle""","""Redeem"";","""赎回"";","""Đổi thưởng"";","""Tebus"";","""Redeem"";","""แลก"";",
