Translations Required,Russian
1 colleague\'s birthday,день рождения у 1 коллеги
It\'s your birthday,Ваш день рождения
%d colleagues\' birthday,день рождения у %d коллег
Search,Поиск
Top 10 Participants,Топ 10 участников
We do not have facilities within this category,В этой категории нет доступных объектов
Filter by Category,Фильтровать по категории
Something went wrong. Please try again later.,"Что-то пошло не так. Пожалуйста, попробуйте позже"
We have sent you a secure OTP to your registered mobile number,"Надежный одноразовый пароль отправлен на мобильный телефон, указанный при регистрации"
At the moment we do not have any facilities near to you,В настоящее время поблизости от Вас нет доступных объектов
Conversation Details,Подробности диалога
Add Member,Добавить участника
Delete message?,Удалить сообщение?
Delete conversation?,Удалить диалог?
Cancel,Отмена
Delete,Удалить
From All,Во всех
Logging Out…,Выход из системы...
+%1$d more,+ еще %1$d
%1$d new messages,%1$d новых сообщений
New Message,Новое сообщение
New message (tap to sync),Новое сообщение (щелкните для синхронизации)
Camera,Камера
Gallery,Галерея
Location,Местоположение
Options,Параметры
Show Notifications,Показать Уведомления
Leave Chat,Покинуть чат
Participants,Участники
Block,Блокировать
Unblock,Разблокировать
Account,Аккаунт
Presence,Присутствие
Show Notifications,Показать Уведомления
Notifications,Уведомления
Connected,Подключено
Disconnected,Отключено
Conversation Name,Название диалога
Add Conversation Name,Добавить название диалога
\u0020 I accept the,\u0020 Я принимаю
Terms of service and Privacy Policy,Условия использования и Политику конфиденциальности
Please accept our terms of Service and Privacy Policy to proceed,"""Чтобы продолжить, необходимо подтвердить согласие с нашими условиями обслуживания и Политикой конфиденциальности"
Award Points,Поощрительные баллы
You\'re not authenticated to start conversation. Please logout and login.,"Чтобы начать диалог, необходимо авторизоваться. Необходимо выйти и войти заново."
Please start sending messages to see the conversation details.,"Чтобы увидеть подробности диалога, начните отправлять сообщения."
out of 30,из 30
Add Members,Добавить участников
Start Conversation,Начать диалог
No Internet Connection,Нет интернет-подключения
Something went wrong.,Что-то пошло не так.
"Sorry, no users are authenticated to chat at the moment.","К сожалению, нет ни одного аутентифицированного пользователя, с кем можно начать диалог."
Error,Ошибка
"Sorry, right now you can create the group with only 25 members","Извините, прямо сейчас вы можете создать группу только из 25 участников."
Group Name,Название группы
Please enter the name,"Пожалуйста, введите название"
Cancel,Отмена
OK,OK
Enter group name,Введите название группы
Failed to authenticate with Layer:,Failed to authenticate with Layer:
Welcome to the,Добро пожаловать в
group.,группу.
Unknown Participant,Неизвестный участник
is typing,печатает...
Please grant location permission to continue using the app,"Пожалуйста, предоставьте доступ к местоположению для использования этого приложения"
not_attending,посещение_не_планируется
attending,планируется посещение
attended,посещенное(-ые)
There are no email clients installed.,Почтовые клиенты не установлены.
Please install Google Map application from Play Store.,Установите приложение Google Map из магазина Play Store.
Currently there are no users joined this group.,На данный момент ни один пользователь не присоединился к группе.
Message,Сообщение
Select source,Выберите источник
Are you sure you dont want to add title?,"Вы уверены, что не будете добавлять должность?"
Image Size Should be less than 6 MB,Размер изображения должен быть меньше 6 Мб
Updated Successfully,Успешно обновлено
We\'ve encountered a technical error.our team is working on it. please try again later,Техническая ошибка. Наша команда уже работает над проблемой. Повторите попытку позже.
RSVP,Приглашение
You are successfully attending Event,Вы успешно зарегистрированы на событие
You have successfully Skip Event,Вы успешно зарегистрированы как пропускающий событие
Skip Event,Пропустить событие
Check In,Регистрация
Checked In,Регистрация успешна
You have successfully Checked In Event,Вы успешно зарегистрировали событие
START:,НАЧАЛО:
at,в
END:,ОКОНЧАНИЕ:
Failed to sync conversation. Please click on chat icon to start conversation,"Не удалось синхронизировать диалог. Щелкните иконку чата, чтобы начать диалог"
Oops,Ой.
"Unable to open the Gallery. Please tap Settings, go to Application info > Permissions, then allow Storage Permission and try again.","Не удалось открыть галерею. Нажмите «Настройки», откройте О приложении > Разрешения, включите разрешение для Хранилища и повторите попытку."
Please grant calendar permission to add RSVPed event to Calendar app,"Чтобы добавить приглашение на событие в приложение Календарь, включите разрешение для календаря"
Please enter the password,Введите пароль
See All Photos,Посмотреть все фотографии
Thank you. Your attendance has been confirmed. See you at the event!,Благодарим Вас. Ваше участие подтверждено. До встречи на мероприятии.
Check-In Confirmed,Регистрация подтверждена
RSVP Withdrawn,Приглашение отозвано
Join Chat Room,Войти в переговорную комнату
Would you like to join this event chat room?,"""Присоединиться к чату события?"
Join,Присоединиться
No,Нет
You\'ve successfully joined the chat group,Вы успешно присоединились к чату
subscribed,подписка оформлена
Waiting for network!,Ожидание сети!
Image Size Should be less than 20 MB,Размер изображения должен быть меньше 20 Мб
DELETE,УДАЛИТЬ
Are you sure you want to delete this photo?,Вы точно хотите удалить это фото?
YES,ДА
by,от
"Whatsapp,Instagram,Twitter,Facebook have not been installed.","Whatsapp, Instagram, Twitter, Facebook не установлены."
EDIT CAPTION,РЕДАКТИРОВАТЬ ОПИСАНИЕ
Enter caption,Введите текст описания
Search,Поиск
Nearby,Рядом
Location not found,Местоположение не найдено
Unable to get your location,Невозможно получить местоположение
Please grant location permission to continue using this functionality,"Пожалуйста, предоставьте разрешение на доступ к местоположению для использования этого функционала"
SETTINGS,НАСТРОЙКИ
pts,баллы
Total Points as of,Общее количество баллов на
No Data in Healthy Activity.,Нет данных по занятиям для здоровья.
You are not connected to any apps,Вы не подключены ни к каким приложениям
No Data in Programs/Activities.,Нет данных в Программах/Мероприятиях.
