Translations Required,Russian
quantity_total,общее_количество
total_points_receipt,количество_баллов_за_чек
quick_link_integration,интеграция_быстрых_ссылок
units_sold_value,количество_проданных_единиц
add_item_name,добавить_название_элемента
error_add_item_details,ошибка_добавления_деталей_об_элементе
supporting_docs_optional,сопутствующие_документы_необязательно
add_number_units,добавить_количество_элементов
add_receipt_amount,добавить_сумму_чека
add_receipt_number,добавить_номер_чека
biometric_prompt_title,заголовок_биометрической_подсказки
biometric_prompt_sub_title,подзаголовок_биометрической_подсказки
enable,включить
biometric_prompt_enable_title_finger,включить_заголовок_подсказки_для_биометрического_входа_по_отпечатку
biometric_prompt_enable_sub_title_finger,включить_подзаголовок_подсказки_для_биометрического_входа_по_отпечатку
biometric_prompt_enable_title_face,включить_заголовок_подсказки_для_биометрического_входа_по_лицу
biometric_prompt_enable_sub_title_face,включить_подзаголовок_подсказки_для_биометрического_входа_по_лицу
login_with_email_id,войти_с_адресом_электронной_почты
biometric_prompt_auth_fail_cancel_title_finger,заголовок_подсказки_при_ошибке_авторизации_через_отпечаток_пальца
biometric_prompt_auth_fail_cancel_sub_title_finger,подзаголовок_подсказки_при_ошибке_авторизации_через_отпечаток_пальца
biometric_prompt_auth_fail_cancel_button_text_finger,текст_подсказки_при_ошибке_авторизации_через_отпечаток_пальца
biometric_prompt_auth_fail_cancel_title_face,заголовок_подсказки_при_ошибке_авторизации_через_faceid
biometric_prompt_auth_fail_cancel_sub_title_face,подзаголовок_подсказки_при_ошибке_авторизации_через_faceid
biometric_prompt_auth_fail_cancel_button_text_face,текст_подсказки_при_ошибке_авторизации_через_faceid
no_biometric_enrolled,биометрические_данные_не_зарегистрированы
biometric_enroll_finger,биометрическая_регистрация_отпечатка_пальца
biometric_enroll_face,биометрическая_регистрация_лица
biometric_finger_print,биометрический_отпечаток_пальца
biometric_face_id,биометрический_face_id
validate_user_type,проверить_тип_пользователя
validate_category,проверить_категорию
validate_challenge_id,проверить_идентификатор_челленджа
validate_challenge_date,проверить_дату_челленджа
validate_number,проверить_номер
validate_activity_date,проверить_дату_активности
validate_customer_name,проверить_имя_клиента
validate_solution_portfolio,проверить_портфолио_решений
validate_attachment,проверить_вложение
validate_notes,проверить_примечания
arabic,арабский
