keys,values,values-ms,values-th,values-vi,values-zh,values-zh-rCN
string-->>hint_search,Search,Carian,ค้นหา,Tìm kiếm,探索,探索
string-->>top_ten,Top 10 Participants,10 Peserta Utama,,Top 10 Người tham gia,前 10 名参与者,前 10 名参与者
string-->>facility_error_message,We do not have facilities within this category,Kami tidak mempunyai kemudahan dalam kategori ini,เราไม่มีสิ่งอำนวยความสะดวกในหมวดหมู่นี้,Chúng tôi không có cơ sở trong danh mục này,我们在此类别中没有设施,我们在此类别中没有设施
string-->>filter_by_category,Filter by Category,Tapis mengikut Kategori,กรองโดยประเภทสินค้า,Lọc theo Danh mục,按类别筛选,按类别筛选
string-->>error_message,Something went wrong. Please try again later.,Sedang menghadapi isu. Sila cuba sebentar lagi..,มีบางอย่างผิดปกติ กรุณาลองใหม่อีกครั้งในภายหลัง,Sự cố nào đó đã phát sinh. Bạn vui lòng thử lại sau.,"出事了,请稍后再试。","出事了,请稍后再试。"
string-->>otp_message,We have sent you a secure OTP to your registered mobile number,Kami telah menghantar OTP yang selamat kepada nombor mudah alih berdaftar anda,,Chúng tôi đã gửi bạn một mã OTP bảo mật đến số điện thoại di động đã đăng ký của bạn,我们已向您发送安全 OTP 到您注册的手机号码,我们已向您发送安全 OTP 到您注册的手机号码
string-->>facility_nearby_error_message,At the moment we do not have any facilities near to you,Pada masa ini kami tidak mempunyai sebarang kemudahan berhampiran dengan anda,ตอนนี้เรายังไม่มีสิ่งอำนวยความสะดวกใกล้คุณ,Ngay lúc này chúng tôi không có cơ sở nào ở gần bạn,目前，我们没有任何靠近你的设施,目前，我们没有任何靠近你的设施
string-->>action_details,Conversation Details,Butiran Perbualan,,Chi tiết của Cuộc trò chuyện,对话详细信息,对话详细信息
string-->>action_add_members,Add Member,Tambah Ahli,,Thêm thành viên,添加会员,添加会员
string-->>alert_message_delete_message,Delete message?,Padam mesej?,,Xóa tin nhắn?,是否删除邮件？,是否删除邮件？
string-->>alert_message_delete_conversation,Delete conversation?,Padam perbualan?,,Xóa cuộc trò chuyện?,是否删除对话？,是否删除对话？
string-->>alert_button_cancel,Cancel,Batalkan,ยกเลิก,Hủy,取消,取消
string-->>alert_button_delete_my_devices,Delete,Padam,ลบ,Xóa,删除,删除
string-->>alert_button_delete_all_participants,From All,Dari semua,,Từ tất cả,从所有,从所有
string-->>alert_dialog_logout,Logging Out…,log keluar;,,Thoát ra…,登出#8230;,登出#8230;
string-->>notifications_num_more,+%1$d more,lebih lagi,,+%1$d thêm,+%1$d 更多,+%1$d 更多
string-->>notifications_new_messages,%1$d new messages,mesej baru,,%1$d tin nhắn mới,%1$d 新邮件,%1$d 新邮件
string-->>title_select_conversation,New Message,mesej baru,,Tin nhắn mới,新信息,新信息
string-->>push_notification_no_content_title,New message (tap to sync),Mesej baru(ketik untuk disegerakkan),,Tin nhắn mới (nhấn để đồng bộ hóa),新信息（点击以同步）,新信息（点击以同步）
string-->>attachment_menu_camera,Camera,kamera,กล้อง,Máy ảnh,相机,相机
string-->>attachment_menu_gallery,Gallery,Galeri,อัลบั้ม,Bộ sưu tập,库,库
string-->>attachment_menu_location,Location,Lokasi,ตำแหน่ง,Vị trí,位置,位置
string-->>conversation_details_title_options,Options,Pilihan,,Lựa chọn,选项,选项
string-->>conversation_details_switch_show_notifications,Show Notifications,Tunjukkan Pemberitahuan,,Hiển thị Thông báo,显示通知,显示通知
string-->>conversation_details_button_leave_group,Leave Chat,Tinggalkan Sembang,,Rời khỏi Trò chuyện,离开聊天室,离开聊天室
string-->>conversation_details_title_participants,Participants,Peserta,,Người tham gia,参与者,参与者
string-->>alert_button_block,Block,Blok,,Chặn,块,块
string-->>alert_button_unblock,Unblock,Buka blok,,Bỏ chặn,疏通,疏通
string-->>settings_title_account,Account,Akaun,,Tài khoản,帐户,帐户
string-->>settings_title_presence,Presence,Kehadiran,,Hiện diện,存在,存在
string-->>settings_switch_show_notifications,Show Notifications,Tunjukkan Pemberitahuan,,Hiển thị Thông báo,显示通知,显示通知
string-->>settings_title_notifications,Notifications,Pemberitahuan,การแจ้งเตือน,Thông báo,通知,通知
string-->>settings_content_connected,Connected,Connected,,Đã kết nối,连接,连接
string-->>settings_content_disconnected,Disconnected,Menanggalkan,,Đã ngắt kết nối,中断,中断
string-->>conversation_name,Conversation Name,Nama Perbualan,,Tên Cuộc trò chuyện,对话名称,对话名称
string-->>hint_conversation_name,Add Conversation Name,Tambah Nama Perbualan,,Thêm Tên Cuộc trò chuyện,添加对话名称,添加对话名称
string-->>privacy_policy,\u0020 I accept the,\u0020 Saya terima,ฉันยอมรับ,\u0020 Tôi đồng ý,\u0020 我接受,\u0020 我接受
string-->>policy_link,Terms of service & Privacy Policy,Syarat perkhidmatan dan Dasar Privasi,เงื่อนไขการให้บริการ และนโยบายความเป็นส่วนตัว,Điều khoản dịch vụ và Chính sách Bảo mật,服务条款和隐私政策,服务条款和隐私政策
string-->>accept_privacy_policy,Please accept our terms of Service and Privacy Policy to proceed,Sila terima syarat Perkhidmatan dan Dasar Privasi kami untuk meneruskan,กรุณายอมรับข้อกำหนดของการให้บริการ และนโยบายความเป็นส่วนตัวของเราเพื่อดำเนินการต่อ,Vui lòng đồng ý các điều khoản Dịch vụ và Chính sách Bảo mật của chúng tôi để tiếp tục,请接受我们的服务条款和隐私政策继续,请接受我们的服务条款和隐私政策继续
string-->>award_points,Award Points,Mata Anugerah,รางวัลคะแนน,Điểm thưởng,奖励积分,奖励积分
string-->>you_are_not_authenticated,You\'re not authenticated to start conversation. Please logout and login.,Anda tidak disahkan untuk memulakan perbualan. Sila log keluar dan log masuk.,,Bạn không được xác thực để bắt đầu cuộc trò chuyện. Vui lòng đăng xuất và đăng nhập.,您未经过验证才能开始对话。请登出并登录。,您未经过验证才能开始对话。请登出并登录。
string-->>please_start_sending_msg,Please start sending messages to see the conversation details.,Sila mulakan menghantar mesej untuk melihat butiran perbualan.,,Vui lòng bắt đầu gửi tin nhắn để xem chi tiết cuộc trò chuyện.,请开始发送消息以查看对话详细信息。,请开始发送消息以查看对话详细信息。
string-->>out_of_30,out of 30,daripada 30,,/30,30之内,30之内
string-->>add_members,Add Members,Tambah Ahli,,Thêm Thành viên,添加成员,添加成员
string-->>start_conversation,Start Conversation,Mula Perbualan,,Bắt đầu Cuộc trò chuyện,开始对话,开始对话
string-->>no_internet_connection,No Internet Connection,Tiada sambungan internet,ไม่มีการเชื่อมต่ออินเตอร์เน็ต,Không có Kết nối Internet,无互联网连接,无互联网连接
string-->>something_went_wrong,Something went wrong.,Menghadapi isu buat semasa.,มีบางอย่างผิดปกติ,Sự cố nào đó đã phát sinh.,出事了,出事了
string-->>sorry_no_user_authenticated,"Sorry, no users are authenticated to chat at the moment.","Maaf, tiada pengguna disahkan untuk bersembang pada masa ini.",,"Xin lỗi, không có người dùng nào được xác thực để trò chuyện vào lúc này.",抱歉，目前没有用户通过验证进行聊天。,抱歉，目前没有用户通过验证进行聊天。
string-->>error,Error,Kesilapan,ผิดพลาด,Lỗi,错误,错误
string-->>only_25_member_restriction,"Sorry, right now you can create the group with only 25 members","Maaf, sekarang anda boleh membuat kumpulan dengan hanya 25 ahli",,"Xin lỗi, bạn có thể tạo nhóm chỉ với 25 thành viên ngay bây giờ",组团有限制25 个成员,组团有限制25 个成员
string-->>group_name,Group Name,Nama kumpulan,,Tên nhóm,组名称,组名称
string-->>please_enter_the_name,Please enter the name,Sila masukkan nama,,Vui lòng nhập tên,请输入名称,请输入名称
string-->>cancel,Cancel,Batalkan,ยกเลิก,Hủy,取消,取消
string-->>okay,OK,Okey,ตกลง,OK,好,好
string-->>enter_group_name,Enter group name,Masukkan nama kumpulan,,Nhập tên nhóm,输入组名称,输入组名称
