keys,values,values-ar,values-ms,values-ru,values-th,values-vi,values-zh,values-zh-rCN
string-->>hint_search,Search,بحث,Carian,Поиск,ค้นหา,Tìm kiếm,探索,探索
string-->>top_ten,Top 10 Participants,أفضل 10 مشاركين,10 Peserta Utama,Топ 10 участников,,Top 10 Người tham gia,前 10 名参与者,前 10 名参与者
string-->>facility_error_message,We do not have facilities within this category,ليس لدينا مرافق داخل هذه الفئة,Kami tidak mempunyai kemudahan dalam kategori ini,В этой категории нет доступных объектов,เราไม่มีสิ่งอำนวยความสะดวกในหมวดหมู่นี้,Chúng tôi không có cơ sở trong danh mục này,我们在此类别中没有设施,我们在此类别中没有设施
string-->>filter_by_category,Filter by Category,تصفية حسب الفئة,Tapis mengikut Kategori,Фильтровать по категории,กรองโดยประเภทสินค้า,Lọc theo Danh mục,按类别筛选,按类别筛选
string-->>error_message,Something went wrong. Please try again later.,هناك خطأ ما. الرجاء معاودة المحاولة في وقت لاحق.,Sedang menghadapi isu. Sila cuba sebentar lagi..,"Что-то пошло не так. Пожалуйста, попробуйте позже",มีบางอย่างผิดปกติ กรุณาลองใหม่อีกครั้งในภายหลัง,Sự cố nào đó đã phát sinh. Bạn vui lòng thử lại sau.,"出事了,请稍后再试。","出事了,请稍后再试。"
string-->>error_photo_message,Error downloading the photo,Error downloading the photo,Error downloading the photo,Ошибка при загрузке фотографии,Error downloading the photo,Error downloading the photo,Error downloading the photo,Error downloading the photo
string-->>photo_save_message,Photo is saved to your phone,Photo is saved to your phone,Photo is saved to your phone,Фотография сохранена на вашем телефоне,Photo is saved to your phone,Photo is saved to your phone,Photo is saved to your phone,Photo is saved to your phone
string-->>otp_message,We have sent you a secure OTP to your registered mobile number,لقد أرسلنا لك OTP آمنة إلى رقم هاتفك المحمول المسجل,Kami telah menghantar OTP yang selamat kepada nombor mudah alih berdaftar anda,"Надежный одноразовый пароль отправлен на мобильный телефон, указанный при регистрации",,Chúng tôi đã gửi bạn một mã OTP bảo mật đến số điện thoại di động đã đăng ký của bạn,我们已向您发送安全 OTP 到您注册的手机号码,我们已向您发送安全 OTP 到您注册的手机号码
string-->>facility_nearby_error_message,At the moment we do not have any facilities near to you,في الوقت الحالي، ليس لدينا أي مرافق بالقرب منك,Pada masa ini kami tidak mempunyai sebarang kemudahan berhampiran dengan anda,В настоящее время поблизости от Вас нет доступных объектов,ตอนนี้เรายังไม่มีสิ่งอำนวยความสะดวกใกล้คุณ,Ngay lúc này chúng tôi không có cơ sở nào ở gần bạn,目前，我们没有任何靠近你的设施,目前，我们没有任何靠近你的设施
string-->>action_details,Conversation Details,تفاصيل المحادثة,Butiran Perbualan,Подробности диалога,,Chi tiết của Cuộc trò chuyện,对话详细信息,对话详细信息
string-->>action_add_members,Add Member,إضافة عضو,Tambah Ahli,Добавить участника,,Thêm thành viên,添加会员,添加会员
string-->>alert_message_delete_message,Delete message?,حذف رسالة؟,Padam mesej?,Удалить сообщение?,,Xóa tin nhắn?,是否删除邮件？,是否删除邮件？
string-->>alert_message_delete_conversation,Delete conversation?,مسح المحادثة؟,Padam perbualan?,Удалить диалог?,,Xóa cuộc trò chuyện?,是否删除对话？,是否删除对话？
string-->>alert_button_cancel,Cancel,يلغي,Batalkan,Отмена,ยกเลิก,Hủy,取消,取消
string-->>alert_button_delete_my_devices,Delete,حذف,Padam,Удалить,ลบ,Xóa,删除,删除
string-->>alert_button_delete_all_participants,From All,من جميع,Dari semua,Во всех,,Từ tất cả,从所有,从所有
string-->>alert_dialog_logout,Logging Out…,تسجيل الخروج…,log keluar;,Выход из системы...,,Thoát ra…,登出#8230;,登出#8230;
string-->>notifications_num_more,+%1$d more,+ %1$d أكثر,lebih lagi,+ еще %1$d,,+%1$d thêm,+%1$d 更多,+%1$d 更多
string-->>notifications_new_messages,%1$d new messages,%1$d رسائل جديدة,mesej baru,%1$d новых сообщений,,%1$d tin nhắn mới,%1$d 新邮件,%1$d 新邮件
string-->>title_select_conversation,New Message,رسالة جديدة,mesej baru,Новое сообщение,,Tin nhắn mới,新信息,新信息
string-->>push_notification_no_content_title,New message (tap to sync),رسالة جديدة (انقر للمزامنة),Mesej baru(ketik untuk disegerakkan),Новое сообщение (щелкните для синхронизации),,Tin nhắn mới (nhấn để đồng bộ hóa),新信息（点击以同步）,新信息（点击以同步）
string-->>attachment_menu_camera,Camera,الة تصوير,kamera,Камера,กล้อง,Máy ảnh,相机,相机
string-->>attachment_menu_gallery,Gallery,صالة عرض,Galeri,Галерея,อัลบั้ม,Bộ sưu tập,库,库
string-->>attachment_menu_location,Location,موقع,Lokasi,Местоположение,ตำแหน่ง,Vị trí,位置,位置
string-->>conversation_details_title_options,Options,خيارات,Pilihan,Параметры,,Lựa chọn,选项,选项
string-->>conversation_details_switch_show_notifications,Show Notifications,عرض الإخطارات,Tunjukkan Pemberitahuan,Показать Уведомления,,Hiển thị Thông báo,显示通知,显示通知
string-->>conversation_details_button_leave_group,Leave Chat,اترك الدردشة,Tinggalkan Sembang,Покинуть чат,,Rời khỏi Trò chuyện,离开聊天室,离开聊天室
string-->>conversation_details_title_participants,Participants,مشاركون,Peserta,Участники,,Người tham gia,参与者,参与者
string-->>alert_button_block,Block,حاجز,Blok,Блокировать,,Chặn,块,块
string-->>alert_button_unblock,Unblock,رفع الحظر,Buka blok,Разблокировать,,Bỏ chặn,疏通,疏通
string-->>settings_title_account,Account,حساب,Akaun,Аккаунт,,Tài khoản,帐户,帐户
string-->>settings_title_presence,Presence,حضور,Kehadiran,Присутствие,,Hiện diện,存在,存在
string-->>settings_switch_show_notifications,Show Notifications,عرض الإخطارات,Tunjukkan Pemberitahuan,Показать Уведомления,,Hiển thị Thông báo,显示通知,显示通知
string-->>settings_title_notifications,Notifications,إشعارات,Pemberitahuan,Уведомления,การแจ้งเตือน,Thông báo,通知,通知
string-->>settings_content_connected,Connected,متصل,Connected,Подключено,,Đã kết nối,连接,连接
string-->>settings_content_disconnected,Disconnected,انقطع الاتصال,Menanggalkan,Отключено,,Đã ngắt kết nối,中断,中断
string-->>conversation_name,Conversation Name,اسم المحادثة,Nama Perbualan,Название диалога,,Tên Cuộc trò chuyện,对话名称,对话名称
string-->>hint_conversation_name,Add Conversation Name,إضافة المحادثة اسم,Tambah Nama Perbualan,Добавить название диалога,,Thêm Tên Cuộc trò chuyện,添加对话名称,添加对话名称
